date,state,code,price,coupon,yield_measure_used,yield,current_yield,bucket,series_label,excluded_near_maturity,excluded_past_maturity,active_default_override,segment
1844-01-20,Pennsylvania,S-2410,69.5,6.0,current_yield,8.633093525179856,8.633093525179856,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-27,Pennsylvania,S-2410,66.0,6.0,current_yield,9.090909090909092,9.090909090909092,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-01-27,Pennsylvania,S-2330,63.875,5.0,current_yield,7.8277886497064575,7.8277886497064575,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-03,Pennsylvania,S-2410,69.0,6.0,current_yield,8.695652173913043,8.695652173913043,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-03,Pennsylvania,S-2330,65.0,5.0,current_yield,7.6923076923076925,7.6923076923076925,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-10,Pennsylvania,S-2330,65.25,5.0,current_yield,7.662835249042145,7.662835249042145,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-10,Pennsylvania,S-2410,69.0,6.0,current_yield,8.695652173913043,8.695652173913043,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-17,Pennsylvania,S-2330,67.25,5.0,current_yield,7.434944237918216,7.434944237918216,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-17,Pennsylvania,S-2410,71.0,6.0,current_yield,8.450704225352112,8.450704225352112,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-24,Pennsylvania,S-2410,70.0,6.0,current_yield,8.571428571428571,8.571428571428571,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-02-24,Pennsylvania,S-2330,68.75,5.0,current_yield,7.272727272727272,7.272727272727272,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-02,Pennsylvania,S-2330,69.5,5.0,current_yield,7.194244604316546,7.194244604316546,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-02,Pennsylvania,S-2410,71.5,6.0,current_yield,8.391608391608392,8.391608391608392,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-09,Pennsylvania,S-2330,70.5,5.0,current_yield,7.092198581560284,7.092198581560284,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-09,Pennsylvania,S-2410,72.0,6.0,current_yield,8.333333333333332,8.333333333333332,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-23,Pennsylvania,S-2410,70.5,6.0,current_yield,8.51063829787234,8.51063829787234,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-23,Pennsylvania,S-2330,68.5,5.0,current_yield,7.2992700729927,7.2992700729927,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-30,Pennsylvania,S-2330,68.0,5.0,current_yield,7.352941176470589,7.352941176470589,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-03-30,Pennsylvania,S-2410,68.0,6.0,current_yield,8.823529411764707,8.823529411764707,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-04-06,Pennsylvania,S-2330,63.5,5.0,current_yield,7.874015748031496,7.874015748031496,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-04-06,Pennsylvania,S-2410,66.0,6.0,current_yield,9.090909090909092,9.090909090909092,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-04-20,Pennsylvania,S-2330,65.25,5.0,current_yield,7.662835249042145,7.662835249042145,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-04-20,Pennsylvania,S-2410,69.0,6.0,current_yield,8.695652173913043,8.695652173913043,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-04-27,Pennsylvania,S-2330,67.75,5.0,current_yield,7.380073800738007,7.380073800738007,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-04-27,Pennsylvania,S-2410,70.0,6.0,current_yield,8.571428571428571,8.571428571428571,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-05-11,Pennsylvania,S-2330,76.0,5.0,current_yield,6.578947368421052,6.578947368421052,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-05-11,Pennsylvania,S-2410,79.0,6.0,current_yield,7.59493670886076,7.59493670886076,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-05-18,Pennsylvania,S-2410,80.5,6.0,current_yield,7.453416149068323,7.453416149068323,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-05-18,Pennsylvania,S-2330,76.75,5.0,current_yield,6.514657980456026,6.514657980456026,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-05-25,Pennsylvania,S-2410,84.0,6.0,current_yield,7.142857142857142,7.142857142857142,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-05-25,Pennsylvania,S-2330,80.0,5.0,current_yield,6.25,6.25,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-06-01,Pennsylvania,S-2410,82.0,6.0,current_yield,7.317073170731707,7.317073170731707,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-06-01,Pennsylvania,S-2330,79.5,5.0,current_yield,6.289308176100629,6.289308176100629,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1844-06-08,Pennsylvania,S-2410,82.0,6.0,current_yield,7.317073170731707,7.317073170731707,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
